relation,sex,age_code,job_type,start_type,start_time_num_6,start_zcode_num,act_num,mode_num,trip_time_num_6,end_type,end_zcode_num,Cluster
1,1,5,1,0.0,177,19.0,0.0,1.0,63,0.0,19.0,7
2,1,4,2,1.0,82,50.0,2.0,2.0,96,1.0,50.0,6
2,0,1,0,0.0,163,47.0,1.0,3.0,3,4.0,47.0,9
0,0,12,1,4.0,143,4.0,8.0,2.0,27,4.0,4.0,8
1,1,7,4,0.0,0,1.0,0.0,0.0,88,0.0,1.0,7
0,1,9,7,0.0,0,23.0,0.0,0.0,83,0.0,23.0,3
2,1,3,5,0.0,82,12.0,1.0,4.0,7,1.0,0.0,6
2,1,3,5,0.0,75,24.0,1.0,4.0,3,3.0,24.0,6
0,0,10,1,4.0,65,20.0,1.0,3.0,7,0.0,20.0,8
0,0,6,5,4.0,192,1.0,1.0,4.0,10,0.0,46.0,8
2,0,0,0,2.0,84,6.0,3.0,2.0,69,2.0,6.0,1
2,1,1,0,0.0,65,50.0,1.0,6.0,2,3.0,50.0,6
2,1,1,0,0.0,0,35.0,0.0,0.0,75,0.0,35.0,6
2,1,1,0,0.0,0,13.0,0.0,0.0,75,0.0,13.0,6
0,0,9,6,1.0,75,47.0,2.0,2.0,105,1.0,47.0,8
0,0,10,8,1.0,152,14.0,2.0,2.0,34,1.0,14.0,8
2,1,1,0,0.0,75,65.0,1.0,4.0,3,2.0,65.0,6
2,0,0,0,4.0,165,41.0,1.0,4.0,5,0.0,41.0,1
1,1,6,1,4.0,132,39.0,8.0,2.0,56,4.0,39.0,7
2,0,3,3,0.0,85,4.0,1.0,4.0,5,1.0,22.0,0
2,0,0,0,2.0,137,21.0,1.0,3.0,1,0.0,21.0,1
0,0,7,8,4.0,167,13.0,2.0,2.0,18,4.0,13.0,4
1,1,6,1,4.0,102,32.0,5.0,2.0,48,4.0,32.0,7
1,1,8,4,0.0,211,51.0,0.0,1.0,29,0.0,51.0,7
0,0,7,5,0.0,78,10.0,1.0,4.0,10,1.0,0.0,4
0,0,5,8,1.0,103,16.0,2.0,2.0,87,1.0,16.0,8
4,1,4,3,1.0,95,23.0,2.0,2.0,110,1.0,23.0,3
0,0,8,7,0.0,0,45.0,0.0,0.0,65,0.0,45.0,5
2,0,0,0,0.0,152,45.0,0.0,2.0,3,0.0,45.0,1
0,0,11,8,4.0,85,30.0,1.0,3.0,3,0.0,30.0,8
0,0,7,4,1.0,230,20.0,1.0,3.0,2,0.0,20.0,4
0,0,5,4,0.0,202,58.0,0.0,1.0,38,0.0,58.0,8
2,1,1,0,0.0,173,19.0,0.0,2.0,7,0.0,19.0,6
1,1,7,8,1.0,180,30.0,1.0,6.0,3,0.0,30.0,7
0,0,5,7,0.0,155,50.0,0.0,1.0,85,0.0,50.0,4
0,0,8,4,0.0,236,17.0,0.0,1.0,4,0.0,17.0,5
2,1,1,0,0.0,152,5.0,0.0,1.0,88,0.0,5.0,6
0,0,10,8,1.0,90,22.0,2.0,2.0,105,1.0,22.0,8
1,1,10,1,4.0,135,43.0,1.0,4.0,2,0.0,43.0,7
2,1,2,7,1.0,83,66.0,2.0,2.0,97,1.0,66.0,6
1,1,5,1,0.0,177,42.0,0.0,1.0,63,0.0,42.0,7
1,1,10,1,0.0,77,0.0,0.0,1.0,163,0.0,0.0,7
2,1,0,0,0.0,148,14.0,1.0,7.0,2,4.0,14.0,2
2,0,2,0,2.0,217,19.0,1.0,4.0,13,0.0,52.0,1
